Date,portfolio_value
2025-05-23,9957.327631
2025-05-27,10125.668044
2025-05-28,10080.332117
2025-05-29,10133.028425
2025-05-30,10181.375424
2025-06-02,10219.413648
2025-06-03,10275.193345
2025-06-04,10295.425566
2025-06-05,10255.368173
2025-06-06,10360.632495
2025-06-09,10351.522606
2025-06-10,10418.001029
2025-06-11,10416.249910
2025-06-12,10454.006564
2025-06-13,10335.872502
2025-06-16,10389.937719
2025-06-17,10303.290814
2025-06-18,10281.318989
2025-06-20,10266.040647
2025-06-23,10358.144849
2025-06-24,10453.188232
2025-06-25,10453.964397
2025-06-26,10536.239787
2025-06-27,10574.792163
2025-06-30,10637.156363
2025-07-01,10693.813948
2025-07-02,10714.114131
2025-07-03,10777.726743
2025-07-07,10707.447510
2025-07-08,10682.257639
2025-07-09,10746.673189
2025-07-10,10778.136624
2025-07-11,10741.323459
2025-07-14,10751.490139
2025-07-15,10652.624197
2025-07-16,10710.528292
2025-07-17,10773.648235
2025-07-18,10728.587930
2025-07-21,10746.822295
2025-07-22,10791.998759
2025-07-23,10877.839279
2025-07-24,10890.576776
2025-07-25,10916.748973
2025-07-28,10886.139287
2025-07-29,10841.614959
2025-07-30,10814.766062
2025-07-31,10734.191136
2025-08-01,10648.105439
2025-08-04,10783.514423
2025-08-05,10758.537700
2025-08-06,10790.250712
2025-08-07,10745.971007
2025-08-08,10849.685972
2025-08-11,10837.013028
2025-08-12,10949.824506
2025-08-13,10986.404786
2025-08-14,11021.362642
2025-08-15,11055.918695
2025-08-18,11067.700481
2025-08-19,11051.618686
2025-08-20,11063.919850
2025-08-21,11047.305790
2025-08-22,11177.988747
2025-08-25,11117.978083
2025-08-26,11170.318015
2025-08-27,11193.993377
2025-08-28,11203.981894
2025-08-29,11192.766211
2025-09-02,11177.995018
2025-09-03,11196.505325
2025-09-04,11271.444325
2025-09-05,11223.734486
2025-09-08,11224.097211
2025-09-09,11300.769698
2025-09-10,11332.269590
2025-09-11,11413.181511
2025-09-12,11383.487008
2025-09-15,11405.966160
2025-09-16,11406.637060
2025-09-17,11465.014952
2025-09-18,11461.936858
2025-09-19,11493.400207
2025-09-22,11488.011064
2025-09-23,11465.147398
2025-09-24,11449.537994
2025-09-25,11402.632739
2025-09-26,11428.412381
2025-09-29,11435.718216
2025-09-30,11511.452466
2025-10-01,11577.183492
2025-10-02,11554.693608
2025-10-03,11590.787255
2025-10-06,11593.509191
2025-10-07,11617.797662
2025-10-08,11630.870198
2025-10-09,11631.564302
2025-10-10,11429.718928
2025-10-13,11551.236272
2025-10-14,11614.612516
2025-10-15,11665.421580
2025-10-16,11581.114849
2025-10-17,11651.176425
2025-10-20,11768.542724
2025-10-21,11758.418013
2025-10-22,11680.217975
2025-10-23,11711.059294
2025-10-24,11763.002853
2025-10-27,11864.666084
2025-10-28,11856.759790
2025-10-29,11837.499426
2025-10-30,11807.038549
2025-10-31,11770.651964
2025-11-03,11696.874148
2025-11-04,11657.157242
2025-11-05,11668.374902
2025-11-06,11625.628609
2025-11-07,11656.420952
2025-11-10,11772.218118
2025-11-11,11880.204581
2025-11-12,11932.876416
2025-11-13,11814.125224
2025-11-14,11777.013759
