Ticker,missing_ratio,missing_count,non_null_count
AAPL,0.0,0,1255
ABBV,0.0,0,1255
ADBE,0.0,0,1255
AMZN,0.0,0,1255
AVGO,0.0,0,1255
BAC,0.0,0,1255
BRK-B,0.0,0,1255
COST,0.0,0,1255
CRM,0.0,0,1255
CSCO,0.0,0,1255
CVX,0.0,0,1255
GOOGL,0.0,0,1255
HD,0.0,0,1255
JNJ,0.0,0,1255
JPM,0.0,0,1255
KO,0.0,0,1255
LLY,0.0,0,1255
MA,0.0,0,1255
META,0.0,0,1255
MRK,0.0,0,1255
MSFT,0.0,0,1255
NVDA,0.0,0,1255
PEP,0.0,0,1255
PFE,0.0,0,1255
PG,0.0,0,1255
TSLA,0.0,0,1255
UNH,0.0,0,1255
V,0.0,0,1255
WMT,0.0,0,1255
XOM,0.0,0,1255
