Date,portfolio_value
2025-05-23,9962.514665
2025-05-27,10149.697095
2025-05-28,10083.476739
2025-05-29,10176.081220
2025-05-30,10233.321212
2025-06-02,10322.158260
2025-06-03,10431.288837
2025-06-04,10478.273517
2025-06-05,10387.366421
2025-06-06,10441.135608
2025-06-09,10439.040532
2025-06-10,10537.875175
2025-06-11,10546.050920
2025-06-12,10606.301926
2025-06-13,10515.061564
2025-06-16,10546.661094
2025-06-17,10409.698950
2025-06-18,10421.303318
2025-06-20,10365.686572
2025-06-23,10458.270215
2025-06-24,10594.402128
2025-06-25,10660.471847
2025-06-26,10751.752288
2025-06-27,10721.768303
2025-06-30,10800.321032
2025-07-01,10775.927953
2025-07-02,10858.088285
2025-07-03,10911.059503
2025-07-07,10845.027580
2025-07-08,10843.189495
2025-07-09,10944.621906
2025-07-10,10985.712576
2025-07-11,10963.801292
2025-07-14,10998.413021
2025-07-15,10948.749538
2025-07-16,11007.791812
2025-07-17,11025.957145
2025-07-18,10991.723797
2025-07-21,10948.054509
2025-07-22,10930.960548
2025-07-23,11046.302839
2025-07-24,11092.244199
2025-07-25,11122.312791
2025-07-28,11119.120556
2025-07-29,11042.082419
2025-07-30,11060.228072
2025-07-31,10986.858691
2025-08-01,11017.351276
2025-08-04,11181.954459
2025-08-05,11129.703621
2025-08-06,11147.810755
2025-08-07,10945.190601
2025-08-08,10950.739039
2025-08-11,10968.084758
2025-08-12,11032.061612
2025-08-13,11057.907990
2025-08-14,11174.332595
2025-08-15,11204.949617
2025-08-18,11241.994918
2025-08-19,11169.526191
2025-08-20,11229.043703
2025-08-21,11170.873997
2025-08-22,11257.190263
2025-08-25,11163.829035
2025-08-26,11308.091090
2025-08-27,11318.813888
2025-08-28,11305.790906
2025-08-29,11181.318739
2025-09-02,11141.486152
2025-09-03,11165.297571
2025-09-04,11248.503426
2025-09-05,11203.591618
2025-09-08,11259.237155
2025-09-09,11325.308397
2025-09-10,11443.336107
2025-09-11,11542.614578
2025-09-12,11537.560841
2025-09-15,11514.755599
2025-09-16,11475.225338
2025-09-17,11509.378971
2025-09-18,11595.144945
2025-09-19,11595.217137
2025-09-22,11670.527773
2025-09-23,11596.194989
2025-09-24,11545.065927
2025-09-25,11464.324278
2025-09-26,11469.686940
2025-09-29,11539.794574
2025-09-30,11755.818733
2025-10-01,11972.321386
2025-10-02,11949.587057
2025-10-03,11983.664550
2025-10-06,11953.058353
2025-10-07,11977.374015
2025-10-08,12070.977812
2025-10-09,12170.285608
2025-10-10,11909.504137
2025-10-13,12062.220650
2025-10-14,11995.290452
2025-10-15,12051.060060
2025-10-16,11971.851508
2025-10-17,11976.122266
2025-10-20,12043.685274
2025-10-21,11961.740568
2025-10-22,11877.138668
2025-10-23,11931.929595
2025-10-24,11986.148232
2025-10-27,12079.058737
2025-10-28,12148.822078
2025-10-29,12261.013414
2025-10-30,12304.389531
2025-10-31,12218.392803
2025-11-03,12277.088676
2025-11-04,12221.901920
2025-11-05,12285.245717
2025-11-06,12212.569736
2025-11-07,12196.661167
2025-11-10,12432.586372
2025-11-11,12469.147545
2025-11-12,12633.556245
2025-11-13,12481.651402
2025-11-14,12478.449213
2025-11-17,12403.348343
2025-11-18,12306.638883
2025-11-19,12401.058696
2025-11-20,12231.601059
2025-11-21,12298.783178
2025-11-24,12378.363511
2025-11-25,12454.359013
2025-11-26,12537.677389
2025-11-28,12507.033030
2025-12-01,12427.997268
2025-12-02,12467.652716
2025-12-03,12467.826534
2025-12-04,12399.126906
2025-12-05,12348.065702
2025-12-08,12259.537922
2025-12-09,12196.710789
2025-12-10,12249.470528
2025-12-11,12323.211002
2025-12-12,12212.021237
2025-12-15,12208.819096
2025-12-16,12197.773022
2025-12-17,12018.806098
2025-12-18,12062.329777
2025-12-19,12237.617567
2025-12-22,12299.338658
2025-12-23,12395.447547
2025-12-24,12463.713232
2025-12-26,12495.297604
2025-12-29,12444.147287
2025-12-30,12427.394570
2025-12-31,12365.130829
2026-01-02,12440.502528
2026-01-05,12411.963963
2026-01-06,12522.123721
2026-01-07,12583.778608
2026-01-08,12542.282009
2026-01-09,12542.586022
2026-01-12,12650.597150
2026-01-13,12655.369480
2026-01-14,12601.013354
2026-01-15,12572.616976
2026-01-16,12613.216006
2026-01-20,12419.653159
2026-01-21,12630.735558
2026-01-22,12678.678738
2026-01-23,12667.162001
2026-01-26,12693.820012
2026-01-27,12709.125799
2026-01-28,12656.609896
2026-01-29,12712.115846
2026-01-30,12706.338144
2026-02-02,12794.593267
2026-02-03,12697.958363
2026-02-04,12756.078655
2026-02-05,12552.601502
2026-02-06,12981.752397
2026-02-09,13064.763911
2026-02-10,12957.943394
2026-02-11,13002.540970
2026-02-12,13030.498349
2026-02-13,13116.102442
2026-02-17,13137.796099
2026-02-18,13070.130553
2026-02-19,13042.612943
2026-02-20,13072.107218
2026-02-23,13182.705094
2026-02-24,13238.350533
2026-02-25,13295.262794
2026-02-26,13057.569604
2026-02-27,13229.578746
2026-03-02,13239.841802
2026-03-03,13131.485844
2026-03-04,13197.647943
2026-03-05,13027.501550
2026-03-06,12923.723937
2026-03-09,13086.653499
2026-03-10,13062.683160
2026-03-11,13048.911545
2026-03-12,12963.272076
2026-03-13,12898.856353
2026-03-16,12971.022305
2026-03-17,12797.259227
2026-03-18,12587.771880
2026-03-19,12530.404759
2026-03-20,12366.806077
2026-03-23,12454.130760
2026-03-24,12471.681604
2026-03-25,12605.906927
2026-03-26,12481.289042
2026-03-27,12335.466249
2026-03-30,12341.537408
2026-03-31,12704.177871
2026-04-01,12811.576302
2026-04-02,12809.601400
2026-04-06,12788.769157
2026-04-07,12832.355937
2026-04-08,13156.789916
2026-04-09,13256.836765
2026-04-10,13211.087374
2026-04-13,13172.774838
2026-04-14,13252.139870
2026-04-15,13248.487790
2026-04-16,13273.973866
2026-04-17,13354.550337
2026-04-20,13308.554155
2026-04-21,13242.543838
2026-04-22,13315.264429
2026-04-23,13410.732238
2026-04-24,13395.293326
2026-04-27,13396.868722
2026-04-28,13339.227766
2026-04-29,13273.194025
2026-04-30,13637.220495
2026-05-01,13647.245545
2026-05-04,13581.848957
2026-05-05,13655.816418
2026-05-06,13769.333144
2026-05-07,13687.080874
2026-05-08,13667.065583
2026-05-11,13800.134204
2026-05-12,13952.593519
2026-05-13,14089.353965
2026-05-14,14274.974841
2026-05-15,14078.398983
2026-05-18,14030.765176
2026-05-19,14121.160178
2026-05-20,14112.316523
2026-05-21,14111.687972
2026-05-22,14093.659215
2026-05-26,14041.682310
