Date,portfolio_value
2025-05-23,9958.429921
2025-05-27,10157.409529
2025-05-28,10113.016028
2025-05-29,10187.370376
2025-05-30,10236.976300
2025-06-02,10333.899178
2025-06-03,10436.906156
2025-06-04,10502.431764
2025-06-05,10400.018456
2025-06-06,10418.260445
2025-06-09,10396.231447
2025-06-10,10472.260130
2025-06-11,10497.988316
2025-06-12,10559.325611
2025-06-13,10443.595155
2025-06-16,10497.011354
2025-06-17,10377.238495
2025-06-18,10394.623940
2025-06-20,10350.225737
2025-06-23,10461.123527
2025-06-24,10608.196722
2025-06-25,10687.325362
2025-06-26,10780.782213
2025-06-27,10773.945248
2025-06-30,10863.158106
2025-07-01,10761.001257
2025-07-02,10841.611647
2025-07-03,10905.766754
2025-07-07,10839.428548
2025-07-08,10824.455035
2025-07-09,10922.659101
2025-07-10,10929.602131
2025-07-11,10905.336350
2025-07-14,10924.548367
2025-07-15,10906.477132
2025-07-16,10953.877127
2025-07-17,10997.122341
2025-07-18,10925.187487
2025-07-21,10906.826267
2025-07-22,10844.598333
2025-07-23,10978.338187
2025-07-24,11043.719691
2025-07-25,11067.625651
2025-07-28,11076.994092
2025-07-29,10992.797805
2025-07-30,11023.284275
2025-07-31,10907.617902
2025-08-01,10924.798401
2025-08-04,11096.116326
2025-08-05,11014.886039
2025-08-06,11086.618411
2025-08-07,10897.012818
2025-08-08,10925.015038
2025-08-11,10957.423574
2025-08-12,11035.818386
2025-08-13,11035.116516
2025-08-14,11147.053455
2025-08-15,11156.381067
2025-08-18,11197.014771
2025-08-19,11091.056554
2025-08-20,11136.446845
2025-08-21,11079.172494
2025-08-22,11153.260314
2025-08-25,11082.450791
2025-08-26,11230.523567
2025-08-27,11251.699467
2025-08-28,11257.227694
2025-08-29,11123.915748
2025-09-02,11092.887165
2025-09-03,11137.537742
2025-09-04,11244.271475
2025-09-05,11235.747941
2025-09-08,11306.483984
2025-09-09,11374.330410
2025-09-10,11515.691398
2025-09-11,11547.171429
2025-09-12,11530.305160
2025-09-15,11521.105687
2025-09-16,11496.464195
2025-09-17,11506.348629
2025-09-18,11551.229221
2025-09-19,11550.996567
2025-09-22,11593.779377
2025-09-23,11507.526149
2025-09-24,11446.262480
2025-09-25,11369.481926
2025-09-26,11369.764536
2025-09-29,11421.882410
2025-09-30,11619.485533
2025-10-01,11775.464806
2025-10-02,11752.419322
2025-10-03,11764.565024
2025-10-06,11715.371498
2025-10-07,11763.909330
2025-10-08,11858.314068
2025-10-09,11970.030755
2025-10-10,11688.548023
2025-10-13,11853.022468
2025-10-14,11745.070492
2025-10-15,11782.723077
2025-10-16,11729.551921
2025-10-17,11751.861315
2025-10-20,11832.977904
2025-10-21,11755.986713
2025-10-22,11617.608344
2025-10-23,11668.087604
2025-10-24,11731.639317
2025-10-27,11819.297375
2025-10-28,11937.020894
2025-10-29,12028.845794
2025-10-30,12047.670180
2025-10-31,12015.107282
2025-11-03,12048.021222
2025-11-04,11964.260034
2025-11-05,12004.522459
2025-11-06,11928.082474
2025-11-07,11901.324924
2025-11-10,12139.430651
2025-11-11,12169.715961
2025-11-12,12322.034854
2025-11-13,12171.526512
2025-11-14,12151.986535
2025-11-17,12054.110758
2025-11-18,12007.992590
2025-11-19,12098.162975
2025-11-20,11912.531777
2025-11-21,11954.799410
2025-11-24,12089.125257
2025-11-25,12140.228763
2025-11-26,12240.704649
2025-11-28,12215.303216
2025-12-01,12153.600183
2025-12-02,12163.617491
2025-12-03,12109.874721
2025-12-04,12057.949389
2025-12-05,11993.856968
2025-12-08,11908.738240
2025-12-09,11870.294134
2025-12-10,11869.544740
2025-12-11,11924.703619
2025-12-12,11781.247354
2025-12-15,11761.640214
2025-12-16,11763.060489
2025-12-17,11611.707593
2025-12-18,11640.573627
2025-12-19,11818.091862
2025-12-22,11850.853718
2025-12-23,11961.587040
2025-12-24,12023.455025
2025-12-26,12066.488036
2025-12-29,12011.229927
2025-12-30,11988.271111
2025-12-31,11928.439145
2026-01-02,11945.849594
2026-01-05,11894.033565
2026-01-06,11968.858096
2026-01-07,12043.158966
2026-01-08,11986.932290
2026-01-09,11988.781751
2026-01-12,12086.307674
2026-01-13,12098.924230
2026-01-14,12018.316878
2026-01-15,11985.254333
2026-01-16,12023.693948
2026-01-20,11835.647959
2026-01-21,11978.702836
2026-01-22,12011.111302
2026-01-23,12034.366646
2026-01-26,12042.694362
2026-01-27,12050.174405
2026-01-28,11997.260994
2026-01-29,12027.005596
2026-01-30,12040.582410
2026-02-02,12090.596284
2026-02-03,11939.004860
2026-02-04,11973.942203
2026-02-05,11831.105664
2026-02-06,12259.274509
2026-02-09,12323.205479
2026-02-10,12232.716479
2026-02-11,12230.244841
2026-02-12,12189.945380
2026-02-13,12216.565906
2026-02-17,12260.233873
2026-02-18,12222.172528
2026-02-19,12194.586670
2026-02-20,12243.843807
2026-02-23,12322.037374
2026-02-24,12363.275207
2026-02-25,12468.508952
2026-02-26,12286.792261
2026-02-27,12521.119396
2026-03-02,12520.890869
2026-03-03,12417.835373
2026-03-04,12480.263867
2026-03-05,12373.444652
2026-03-06,12284.006434
2026-03-09,12448.066905
2026-03-10,12421.656786
2026-03-11,12375.652171
2026-03-12,12258.128945
2026-03-13,12183.753152
2026-03-16,12258.725882
2026-03-17,12091.718349
2026-03-18,11902.688061
2026-03-19,11816.082411
2026-03-20,11669.447214
2026-03-23,11776.727916
2026-03-24,11739.134672
2026-03-25,11869.028764
2026-03-26,11730.926503
2026-03-27,11591.009947
2026-03-30,11588.551867
2026-03-31,11944.649473
2026-04-01,12033.684602
2026-04-02,12055.997749
2026-04-06,12042.422526
2026-04-07,12101.980319
2026-04-08,12408.038981
2026-04-09,12525.746817
2026-04-10,12528.764224
2026-04-13,12510.029646
2026-04-14,12631.567502
2026-04-15,12670.599048
2026-04-16,12686.814187
2026-04-17,12714.205547
2026-04-20,12625.400881
2026-04-21,12539.023083
2026-04-22,12651.082321
2026-04-23,12675.302834
2026-04-24,12708.725519
2026-04-27,12716.121995
2026-04-28,12645.121750
2026-04-29,12582.384240
2026-04-30,12852.714650
2026-05-01,12859.251682
2026-05-04,12784.291274
2026-05-05,12820.586867
2026-05-06,12959.917080
2026-05-07,12894.804033
2026-05-08,12904.177379
2026-05-11,12949.293233
2026-05-12,13096.579363
2026-05-13,13197.916461
2026-05-14,13385.606373
2026-05-15,13206.331837
2026-05-18,13218.256844
2026-05-19,13260.220961
2026-05-20,13275.301224
2026-05-21,13273.106024
2026-05-22,13254.277227
2026-05-26,13202.255259
