Date,portfolio_value
2025-05-05,9967.636861
2025-05-06,9793.535589
2025-05-07,9865.417188
2025-05-08,9810.230197
2025-05-09,9789.825445
2025-05-12,9995.218702
2025-05-13,10070.550874
2025-05-14,10041.955584
2025-05-15,10160.631672
2025-05-16,10314.047344
2025-05-19,10308.313712
2025-05-20,10277.960331
2025-05-21,10090.897843
2025-05-22,10039.312429
2025-05-23,10019.720538
2025-05-27,10204.909617
2025-05-28,10130.038660
2025-05-29,10201.690338
2025-05-30,10269.075591
2025-06-02,10362.979009
2025-06-03,10430.363595
2025-06-04,10429.177983
2025-06-05,10259.702777
2025-06-06,10331.300994
2025-06-09,10345.565824
2025-06-10,10455.123106
2025-06-11,10428.822534
2025-06-12,10453.102627
2025-06-13,10402.939314
2025-06-16,10412.132480
2025-06-17,10283.007525
2025-06-18,10313.522136
2025-06-20,10279.111153
2025-06-23,10412.343304
2025-06-24,10495.229862
2025-06-25,10526.159840
2025-06-26,10553.806038
2025-06-27,10544.067659
2025-06-30,10589.350790
2025-07-01,10559.023514
2025-07-02,10618.748447
2025-07-03,10679.837420
2025-07-07,10618.378110
2025-07-08,10566.156156
2025-07-09,10623.387390
2025-07-10,10665.453062
2025-07-11,10654.473588
2025-07-14,10719.640413
2025-07-15,10653.994331
2025-07-16,10708.455904
2025-07-17,10700.479409
2025-07-18,10690.886915
2025-07-21,10643.639857
2025-07-22,10646.735256
2025-07-23,10726.781196
2025-07-24,10717.770386
2025-07-25,10775.377448
2025-07-28,10794.486276
2025-07-29,10720.905197
2025-07-30,10719.428155
2025-07-31,10642.669083
2025-08-01,10693.898587
2025-08-04,10838.314927
2025-08-05,10775.947077
2025-08-06,10881.285956
2025-08-07,10696.293630
2025-08-08,10712.011267
2025-08-11,10768.994712
2025-08-12,10796.240452
2025-08-13,10784.394875
2025-08-14,10884.092339
2025-08-15,10918.565434
2025-08-18,10963.154470
2025-08-19,10910.868143
2025-08-20,10972.331158
2025-08-21,10855.443134
2025-08-22,10910.531211
2025-08-25,10834.801044
2025-08-26,10971.305622
2025-08-27,10965.923255
2025-08-28,10936.233580
2025-08-29,10884.641324
2025-09-02,10876.596388
2025-09-03,10930.890197
2025-09-04,11024.269413
2025-09-05,10926.171996
2025-09-08,10966.790149
2025-09-09,11060.758616
2025-09-10,11073.857819
2025-09-11,11217.235651
2025-09-12,11265.242517
2025-09-15,11260.447450
2025-09-16,11249.659840
2025-09-17,11289.801054
2025-09-18,11314.180838
2025-09-19,11305.307196
2025-09-22,11388.963275
2025-09-23,11304.476121
2025-09-24,11301.152689
2025-09-25,11218.680667
2025-09-26,11262.356190
2025-09-29,11316.518922
2025-09-30,11505.641638
2025-10-01,11704.635400
2025-10-02,11608.148956
2025-10-03,11638.926133
2025-10-06,11655.304698
2025-10-07,11671.087234
2025-10-08,11707.053042
2025-10-09,11792.511801
2025-10-10,11591.020460
2025-10-13,11691.980469
2025-10-14,11679.337110
2025-10-15,11768.687602
2025-10-16,11636.722679
2025-10-17,11691.476656
2025-10-20,11751.015907
2025-10-21,11671.565037
2025-10-22,11625.416743
2025-10-23,11660.699223
2025-10-24,11676.594143
2025-10-27,11753.318672
2025-10-28,11788.054555
2025-10-29,11758.774112
2025-10-30,11799.320209
2025-10-31,11774.203673
2025-11-03,11877.180288
2025-11-04,11858.557546
2025-11-05,11897.589866
2025-11-06,11822.322623
2025-11-07,11814.321949
2025-11-10,12023.573616
2025-11-11,12088.100470
2025-11-12,12216.216502
2025-11-13,12066.588937
2025-11-14,12060.211598
2025-11-17,12018.904935
2025-11-18,11920.194371
2025-11-19,11967.331970
2025-11-20,11948.775296
2025-11-21,11976.088175
2025-11-24,11996.797069
2025-11-25,12119.050939
2025-11-26,12217.007986
2025-11-28,12207.030619
2025-12-01,12174.466944
2025-12-02,12188.253348
2025-12-03,12245.461033
2025-12-04,12209.246020
2025-12-05,12159.961061
2025-12-08,12048.481912
2025-12-09,11991.497919
2025-12-10,11988.975961
2025-12-11,12064.556719
2025-12-12,12100.042576
2025-12-15,12178.425665
2025-12-16,12131.613373
2025-12-17,12024.854651
2025-12-18,12067.262801
2025-12-19,12175.541952
2025-12-22,12206.012010
2025-12-23,12235.618631
2025-12-24,12313.584117
2025-12-26,12322.134667
2025-12-29,12267.465576
2025-12-30,12231.738440
2025-12-31,12172.836467
2026-01-02,12194.912235
2026-01-05,12152.469171
2026-01-06,12240.664701
2026-01-07,12314.517131
2026-01-08,12280.197976
2026-01-09,12260.520281
2026-01-12,12377.866091
2026-01-13,12386.962607
2026-01-14,12338.810118
2026-01-15,12275.232783
2026-01-16,12310.303380
2026-01-20,12142.862369
2026-01-21,12328.907907
2026-01-22,12365.351724
2026-01-23,12374.804970
2026-01-26,12361.749125
2026-01-27,12343.512702
2026-01-28,12283.509512
2026-01-29,12303.082050
2026-01-30,12355.273965
2026-02-02,12446.276475
2026-02-03,12416.025607
2026-02-04,12496.496172
2026-02-05,12303.893434
2026-02-06,12712.860189
2026-02-09,12697.159095
2026-02-10,12573.966722
2026-02-11,12560.421500
2026-02-12,12671.314366
2026-02-13,12713.764006
2026-02-17,12655.708890
2026-02-18,12576.073984
2026-02-19,12502.019595
2026-02-20,12497.864576
2026-02-23,12617.622142
2026-02-24,12669.077720
2026-02-25,12709.261438
2026-02-26,12536.954367
2026-02-27,12743.649070
2026-03-02,12703.995643
2026-03-03,12672.745339
2026-03-04,12732.301293
2026-03-05,12523.890328
2026-03-06,12471.743657
2026-03-09,12572.482541
2026-03-10,12554.984763
2026-03-11,12527.039112
2026-03-12,12444.057811
2026-03-13,12433.246606
2026-03-16,12481.865010
2026-03-17,12323.344725
2026-03-18,12097.649433
2026-03-19,12001.831916
2026-03-20,11837.542168
2026-03-23,11935.796415
2026-03-24,11957.011184
2026-03-25,12078.617375
2026-03-26,11953.859394
2026-03-27,11830.700567
2026-03-30,11877.375479
2026-03-31,12180.441612
2026-04-01,12263.000579
2026-04-02,12234.302020
2026-04-06,12225.490280
2026-04-07,12157.172979
2026-04-08,12421.978983
2026-04-09,12517.118769
2026-04-10,12411.339243
2026-04-13,12331.584725
2026-04-14,12432.523280
2026-04-15,12475.076318
2026-04-16,12493.212072
2026-04-17,12600.060445
2026-04-20,12544.731949
2026-04-21,12480.218027
2026-04-22,12509.605929
2026-04-23,12545.608398
2026-04-24,12481.934406
2026-04-27,12444.255420
2026-04-28,12439.099426
2026-04-29,12383.033504
2026-04-30,12688.544589
2026-05-01,12676.171964
2026-05-04,12643.538990
2026-05-05,12650.898534
